"","(Intercept)","living_area","year_sold","mod$coefficients[4:n]","neighborhood","neighborhood_num"
"537",141374.972516129,71.4716580373283,13766.2930038246,-19540.1864839012,"neighborhood3850","3850"
"538",141374.972516129,71.4716580373283,13766.2930038246,29287.3207828312,"neighborhood3860","3860"
"539",141374.972516129,71.4716580373283,13766.2930038246,421.456733127179,"neighborhood3870","3870"
"540",141374.972516129,71.4716580373283,13766.2930038246,9104.41589782197,"neighborhood3885","3885"
"541",141374.972516129,71.4716580373283,13766.2930038246,-16071.4026366685,"neighborhood3900","3900"
"542",141374.972516129,71.4716580373283,13766.2930038246,7055.56425297751,"neighborhood3920","3920"
"543",141374.972516129,71.4716580373283,13766.2930038246,-35761.0174898773,"neighborhood3922","3922"
"544",141374.972516129,71.4716580373283,13766.2930038246,-22524.2475962639,"neighborhood3923","3923"
"545",141374.972516129,71.4716580373283,13766.2930038246,-3958.30413759573,"neighborhood3950","3950"
"546",141374.972516129,71.4716580373283,13766.2930038246,-61819.1577260751,"neighborhood3960","3960"
"547",141374.972516129,71.4716580373283,13766.2930038246,21401.9727402993,"neighborhood3970","3970"
"548",141374.972516129,71.4716580373283,13766.2930038246,6623.75176578042,"neighborhood3980","3980"
"549",141374.972516129,71.4716580373283,13766.2930038246,24142.0659383069,"neighborhood4000","4000"
"550",141374.972516129,71.4716580373283,13766.2930038246,-12844.7893732612,"neighborhood4010","4010"
"551",141374.972516129,71.4716580373283,13766.2930038246,38733.8228677022,"neighborhood4020","4020"
"552",141374.972516129,71.4716580373283,13766.2930038246,-12456.6921189083,"neighborhood4030","4030"
"553",141374.972516129,71.4716580373283,13766.2930038246,-31750.1248483672,"neighborhood4040","4040"
"554",141374.972516129,71.4716580373283,13766.2930038246,-1541.70280967591,"neighborhood4050","4050"
"555",141374.972516129,71.4716580373283,13766.2930038246,-12879.4853802011,"neighborhood4060","4060"
"556",141374.972516129,71.4716580373283,13766.2930038246,-60200.910511492,"neighborhood4080","4080"
"557",141374.972516129,71.4716580373283,13766.2930038246,21546.5632357661,"neighborhood4081","4081"
"558",141374.972516129,71.4716580373283,13766.2930038246,-13587.7574952378,"neighborhood4090","4090"
"559",141374.972516129,71.4716580373283,13766.2930038246,58807.7181544888,"neighborhood4091","4091"
"560",141374.972516129,71.4716580373283,13766.2930038246,70120.1712004901,"neighborhood4092","4092"
"561",141374.972516129,71.4716580373283,13766.2930038246,-3797.84829114889,"neighborhood4100","4100"
"562",141374.972516129,71.4716580373283,13766.2930038246,39672.6166012079,"neighborhood4110","4110"
"563",141374.972516129,71.4716580373283,13766.2930038246,-91125.2100285334,"neighborhood4120","4120"
"564",141374.972516129,71.4716580373283,13766.2930038246,41836.672355573,"neighborhood4126","4126"
"565",141374.972516129,71.4716580373283,13766.2930038246,-6053.5371652392,"neighborhood4140","4140"
"566",141374.972516129,71.4716580373283,13766.2930038246,47823.1126052442,"neighborhood4141","4141"
"567",141374.972516129,71.4716580373283,13766.2930038246,22928.9458197504,"neighborhood4145","4145"
"568",141374.972516129,71.4716580373283,13766.2930038246,46097.2365932033,"neighborhood4160","4160"
"569",141374.972516129,71.4716580373283,13766.2930038246,-51312.6029392189,"neighborhood4170","4170"
"570",141374.972516129,71.4716580373283,13766.2930038246,19373.8057672311,"neighborhood4190","4190"
"571",141374.972516129,71.4716580373283,13766.2930038246,-253963.364707998,"neighborhood4200","4200"
"572",141374.972516129,71.4716580373283,13766.2930038246,43902.5667860234,"neighborhood4240","4240"
"573",141374.972516129,71.4716580373283,13766.2930038246,-27717.9075990616,"neighborhood4250","4250"
"574",141374.972516129,71.4716580373283,13766.2930038246,-82682.3180602283,"neighborhood4260","4260"
"575",141374.972516129,71.4716580373283,13766.2930038246,-12385.4713144823,"neighborhood4265","4265"
"576",141374.972516129,71.4716580373283,13766.2930038246,37477.0531432664,"neighborhood4275","4275"
"577",141374.972516129,71.4716580373283,13766.2930038246,-24926.2429025352,"neighborhood4280","4280"
"578",141374.972516129,71.4716580373283,13766.2930038246,-30494.7550692621,"neighborhood4282","4282"
"579",141374.972516129,71.4716580373283,13766.2930038246,-9838.10387227775,"neighborhood4300","4300"
"580",141374.972516129,71.4716580373283,13766.2930038246,-44554.4658358783,"neighborhood4301","4301"
"581",141374.972516129,71.4716580373283,13766.2930038246,5936.44290088602,"neighborhood4310","4310"
"582",141374.972516129,71.4716580373283,13766.2930038246,-54225.4359932255,"neighborhood4330","4330"
"583",141374.972516129,71.4716580373283,13766.2930038246,-31839.3087131744,"neighborhood4340","4340"
"584",141374.972516129,71.4716580373283,13766.2930038246,31834.7074019303,"neighborhood4341","4341"
"585",141374.972516129,71.4716580373283,13766.2930038246,25103.8486208626,"neighborhood4342","4342"
"586",141374.972516129,71.4716580373283,13766.2930038246,34072.6998885787,"neighborhood4350","4350"
"587",141374.972516129,71.4716580373283,13766.2930038246,-12950.1281212496,"neighborhood4351","4351"
"588",141374.972516129,71.4716580373283,13766.2930038246,-23810.5024740493,"neighborhood4352","4352"
"589",141374.972516129,71.4716580373283,13766.2930038246,-58463.5819031554,"neighborhood4353","4353"
"590",141374.972516129,71.4716580373283,13766.2930038246,17441.8656969475,"neighborhood4354","4354"
"591",141374.972516129,71.4716580373283,13766.2930038246,3177.45483281814,"neighborhood4357","4357"
"592",141374.972516129,71.4716580373283,13766.2930038246,-16568.1996885265,"neighborhood4360","4360"
"593",141374.972516129,71.4716580373283,13766.2930038246,-7710.36568975934,"neighborhood4365","4365"
"594",141374.972516129,71.4716580373283,13766.2930038246,8409.07127370133,"neighborhood4370","4370"
"595",141374.972516129,71.4716580373283,13766.2930038246,-15043.8412961373,"neighborhood4380","4380"
"596",141374.972516129,71.4716580373283,13766.2930038246,83986.2760722553,"neighborhood4398","4398"
"597",141374.972516129,71.4716580373283,13766.2930038246,11704.3068577771,"neighborhood4400","4400"
"598",141374.972516129,71.4716580373283,13766.2930038246,20553.1985735148,"neighborhood4410","4410"
"599",141374.972516129,71.4716580373283,13766.2930038246,-21883.157247043,"neighborhood4411","4411"
"600",141374.972516129,71.4716580373283,13766.2930038246,-14775.4909975329,"neighborhood4440","4440"
"601",141374.972516129,71.4716580373283,13766.2930038246,-47502.3939125499,"neighborhood4445","4445"
"602",141374.972516129,71.4716580373283,13766.2930038246,12259.3183048702,"neighborhood4450","4450"
"603",141374.972516129,71.4716580373283,13766.2930038246,8337.15714275791,"neighborhood4470","4470"
"604",141374.972516129,71.4716580373283,13766.2930038246,-22397.244703033,"neighborhood4480","4480"
